description,duration,main_speaker,name,speaker_occupation,tags,title,views,index
"Alwar Balasubramaniam's sculpture plays with time, shape, shadow, perspective: four tricky sensations that can reveal -- or conceal -- what's really out there. At TEDIndia, the artist shows slides of his extraordinary installations.",1011,Alwar Balasubramaniam,Alwar Balasubramaniam: Art of substance and absence,Artist,"['art', 'design', 'entertainment', 'visualizations']",Art of substance and absence,427590,762
"After 15 years in the British diplomatic corps, Carne Ross became a ""freelance diplomat,"" running a bold nonprofit that gives small, developing and yet-unrecognized nations a voice in international relations. At the BIF-5 conference, he calls for a new kind of diplomacy that gives voice to small countries, that works with changing boundaries and that welcomes innovation.",1238,Carne Ross,Carne Ross: An independent diplomat,Diplomat,"['global issues', 'innovation', 'iraq', 'politics', 'state-building']",An independent diplomat,343532,763
"How can the magic of live theater, live music, live dance compete with the always-on Internet? Ben Cameron offers a bold look forward to a world where live arts matter more than ever -- to link humans together at a primal level of shared experience.",764,Ben Cameron,Ben Cameron: Why the live arts matter,Arts administrator,"['TEDx', 'education', 'entertainment', 'music', 'performance', 'performance art', 'theater']",Why the live arts matter,497710,764
"Why are so many things broken? In a hilarious talk from the 2006 Gel conference, Seth Godin gives a tour of things poorly designed, the 7 reasons why they are that way, and how to fix them.",1214,Seth Godin,Seth Godin: This is broken,Marketer and author,"['TED Brain Trust', 'advertising', 'business', 'design', 'marketing']",This is broken,955329,765
"Rob Dunbar hunts for data on our climate from 12,000 years ago, finding clues inside ancient seabeds and corals and inside ice sheets. His work is vital in setting baselines for fixing our current climate -- and in tracking the rise of deadly ocean acidification.",1094,Rob Dunbar,Rob Dunbar: Discovering ancient climates in oceans and ice,"Oceanographer, biogeochemist","['mission blue', 'oceans', 'science', 'technology']",Discovering ancient climates in oceans and ice,547649,766
"TED's Chris Anderson says the rise of web video is driving a worldwide phenomenon he calls Crowd Accelerated Innovation -- a self-fueling cycle of learning that could be as significant as the invention of print. But to tap into its power, organizations will need to embrace radical openness. And for TED, it means the dawn of a whole new chapter ...",1133,Chris Anderson,Chris Anderson: How web video powers global innovation,TED Curator,"['business', 'education', 'global issues', 'innovation', 'online video', 'science', 'technology', 'web']",How web video powers global innovation,1306536,767
"In today's world, balancing school, work, kids and more, most of us can only hope for the recommended eight hours of sleep. Examining the science behind our body's internal clock, Jessa Gamble reveals the surprising and substantial program of rest we should be observing.",241,Jessa Gamble,Jessa Gamble: Our natural sleep cycle is nothing like what we do now,Writer,"['evolution', 'humanity', 'personal growth', 'science', 'self']",Our natural sleep cycle is nothing like what we do now,2244295,768
"After mapping humans' intricate social networks, Nicholas Christakis and colleague James Fowler began investigating how this information could better our lives. Now, he reveals his hot-off-the-press findings: These networks can be used to detect epidemics earlier than ever, from the spread of innovative ideas to risky behaviors to viruses (like H1N1).",1074,Nicholas Christakis,Nicholas Christakis: How social networks predict epidemics,"Physician, social scientist","['friendship', 'health', 'humanity', 'medicine', 'meme', 'science', 'society']",How social networks predict epidemics,568761,769
"Caroline Phillips cranks out tunes on a seldom-heard folk instrument: the hurdy-gurdy, a.k.a. the wheel fiddle. A searching, Basque melody follows her fun lesson on its unique anatomy and 1,000-year history.",341,Caroline Phillips,Caroline Phillips: Hurdy-gurdy for beginners,Musician,"['culture', 'history', 'music', 'performance', 'singer', 'technology']",Hurdy-gurdy for beginners,649740,770
"Christien Meindertsma, author of ""Pig 05049"" looks at the astonishing afterlife of the ordinary pig, parts of which make their way into at least 185 non-pork products, from bullets to artificial hearts.",534,Christien Meindertsma,Christien Meindertsma: How pig parts make the world turn,Artist,"['books', 'business', 'consumerism', 'design', 'engineering', 'food', 'medicine', 'product design']",How pig parts make the world turn,1157394,771
"People often credit their ideas to individual ""Eureka!"" moments. But Steven Johnson shows how history tells a different story. His fascinating tour takes us from the ""liquid networks"" of London's coffee houses to Charles Darwin's long, slow hunch to today's high-velocity web.",1065,Steven Johnson,Steven Johnson: Where good ideas come from,Writer,"['collaboration', 'innovation', 'novel', 'science', 'technology']",Where good ideas come from,3951683,772
"In sub-Saharan Africa, HIV infections are more prevalent and doctors scarcer than anywhere else in the world. With a lack of medical professionals, Mitchell Besser enlisted the help of his patients to create mothers2mothers -- an extraordinary network of HIV-positive women whose support for each other is changing and saving lives.",1110,Mitchell Besser,Mitchell Besser: Mothers helping mothers fight HIV,HIV/AIDS fighter,"['AIDS', 'Africa', 'community', 'health', 'health care', 'women']",Mothers helping mothers fight HIV,235221,773
"For the last eight years, pop singer Annie Lennox has devoted the majority of her time to her SING campaign, raising awareness and money to combat HIV/AIDS. She shares the experiences that have inspired her, from working with Nelson Mandela to meeting a little African girl in a desperate situation.",556,Annie Lennox,Annie Lennox: Why I am an HIV/AIDS activist,"Activist, singer-songwriter","['AIDS', 'Africa', 'activism', 'health', 'personal growth']",Why I am an HIV/AIDS activist,484254,774
"In this short, amazing demo, Fabian Hemmert imagines one future of the mobile phone -- a shape-shifting and weight-shifting handset that ""displays"" information nonvisually. It's a delightfully intuitive way to communicate.",255,Fabian Hemmert,Fabian Hemmert: The shape-shifting future of the mobile phone,Designer,"['TEDx', 'communication', 'culture', 'design', 'interface design', 'telecom']",The shape-shifting future of the mobile phone,875821,775
Julian Treasure says our increasingly noisy world is gnawing away at our mental health -- even costing lives. He lays out an 8-step plan to soften this sonic assault (starting with those cheap earbuds) and restore our relationship with sound.,434,Julian Treasure,Julian Treasure: Shh! Sound health in 8 steps,Sound consultant,"['Senses', 'design', 'music', 'nature', 'psychology', 'science', 'sound']",Shh! Sound health in 8 steps,1147609,776
"Birds, a perennial human fascination, entertained medieval homes long before science took them for serious study. ""Wisdom of Birds"" author Tim Birkhead tours some intriguing birdwatcher lore (dug up in old field journals) -- and talks about the role it plays in ornithology today.",1690,Tim Birkhead,Tim Birkhead: The early birdwatchers,Ornithologist,"['biology', 'birds', 'evolution', 'life']",The early birdwatchers,112321,777
"At TED@Cannes, Gary Wolf gives a 5-min intro to an intriguing new pastime: using mobile apps and always-on gadgets to track and analyze your body, mood, diet, spending -- just about everything in daily life you can measure -- in gloriously geeky detail.",310,Gary Wolf,Gary Wolf: The quantified self,Journalist,"['decision-making', 'design', 'health', 'medicine', 'psychology', 'statistics', 'technology']",The quantified self,865560,778
"Sebastian Seung is mapping a massively ambitious new model of the brain that focuses on the connections between each neuron. He calls it our ""connectome,"" and it's as individual as our genome -- and understanding it could open a new way to understand our brains and our minds.",1165,Sebastian Seung,Sebastian Seung: I am my connectome,Computational neuroscientist,"['brain', 'mind', 'science', 'technology']",I am my connectome,942928,779
"When Jungian analyst Inge Missmahl visited Afghanistan, she saw the inner wounds of war -- widespread despair, trauma and depression. And yet, in this county of 30 million people, there were only two dozen psychiatrists. Missmahl talks about her work helping to build the country's system of psychosocial counseling, promoting both individual and, perhaps, national healing.",641,Inge Missmahl,Inge Missmahl: Bringing peace to the minds of Afghanistan,Analytical psychologist,"['PTSD', 'brain', 'depression', 'global issues', 'mental health', 'peace', 'poverty', 'psychology', 'violence', 'war']",Bringing peace to the minds of Afghanistan,343349,780
"Thailand's ""Mr. Condom,"" Mechai Viravaidya, retells the country's bold plan to raise its standard of living, starting in the 1970s. First step: population control. And that means a lot of frank, funny -- and very effective -- talk about condoms.",830,Mechai Viravaidya,Mechai Viravaidya: How Mr. Condom made Thailand a better place for life and love,Public health expert,"['TEDx', 'culture', 'global issues', 'health', 'population', 'science']",How Mr. Condom made Thailand a better place for life and love,1059098,781
"Product designer Eben Bayer reveals his recipe for a new, fungus-based packaging material that protects fragile stuff like furniture, plasma screens -- and the environment.",545,Eben Bayer,Eben Bayer: Are mushrooms the new plastic?,Green designer,"['Anthropocene', 'environment', 'green', 'manufacturing', 'nature', 'plastic', 'product design', 'technology']",Are mushrooms the new plastic?,1097901,782
"As the world faces recession, climate change, inequity and more, Tim Jackson delivers a piercing challenge to established economic principles, explaining how we might stop feeding the crises and start investing in our future.",1223,Tim Jackson,Tim Jackson: An economic reality check,Economist,"['economics', 'global development', 'green', 'poverty', 'sustainability']",An economic reality check,899942,783
"Tuna are ocean athletes -- fast, far-ranging predators whose habits we're just beginning to understand. Marine biologist Barbara Block fits tuna with tracking tags (complete with transponders) that record unprecedented amounts of data about these gorgeous, threatened fish and the ocean habitats they move through.",1206,Barbara Block,Barbara Block: Tagging tuna in the deep ocean,Marine biologist,"['mission blue', 'oceans', 'science', 'technology']",Tagging tuna in the deep ocean,334820,784
"Hans Rosling reframes 10 years of UN data with his spectacular visuals, lighting up an astonishing -- and under-reported -- piece of front-page good news: We're winning the war against child death. Along the way, he debunks one flawed approach to stats that blots out such vital stories.",934,Hans Rosling,Hans Rosling: The good news of the decade? We're winning the war against child mortality,Global health expert; data visionary,"['Africa', 'TEDx', 'data', 'global development', 'health', 'inequality', 'statistics']",The good news of the decade? We're winning the war against child mortality,738895,785
"Stacey Kramer offers a moving, personal, 3-minute parable that shows how an unwanted experience -- frightening, traumatic, costly -- can turn out to be a priceless gift.",197,Stacey Kramer,Stacey Kramer: The best gift I ever survived,Brand strategist,"['cancer', 'medicine', 'personal growth', 'storytelling']",The best gift I ever survived,3450119,786
"Plants behave in some oddly intelligent ways: fighting predators, maximizing food opportunities ... But can we think of them as actually having a form of intelligence of their own? Italian botanist Stefano Mancuso presents intriguing evidence.",830,Stefano Mancuso,Stefano Mancuso: The roots of plant intelligence,Plant neurobiologist,"['biology', 'botany', 'collaboration', 'plants', 'science']",The roots of plant intelligence,1075196,787
"Melinda Gates makes a provocative case: What can nonprofits learn from mega-corporations like Coca-Cola, whose global network of marketers and distributors ensures that every remote village wants -- and can get -- an ice-cold Coke? Maybe this model could work for distributing health care, vaccinations, sanitation, even condoms ...",988,Melinda Gates,Melinda Gates: What nonprofits can learn from Coca-Cola,Philanthropist,"['TEDx', 'business', 'global development', 'global issues', 'philanthropy', 'sanitation']",What nonprofits can learn from Coca-Cola,1189754,788
"""Haiti was not a natural disaster,"" says TED Fellow Peter Haas: ""It was a disaster of engineering."" As the country rebuilds after January's deadly quake, are bad old building practices creating another ticking time bomb? Haas's group, AIDG, is helping Haiti's builders learn modern building and engineering practices, to assemble a strong country brick by brick.",510,Peter Haas,Peter Haas: Haiti's disaster of engineering,Building activist,"['TED Fellows', 'architecture', 'business', 'disaster relief', 'global issues', 'natural disaster', 'technology']",Haiti's disaster of engineering,317127,789
"Natalie Jeremijenko's unusual lab puts art to work, and addresses environmental woes by combining engineering know-how with public art and a team of volunteers. These real-life experiments include: Walking tadpoles, texting ""fish,"" planting fire-hydrant gardens and more.",1190,Natalie Jeremijenko,Natalie Jeremijenko: The art of the eco-mindshift,Artist and engineer,"['art', 'collaboration', 'design', 'engineering', 'environment', 'performance art', 'technology']",The art of the eco-mindshift,414028,790
"On the web, a new ""Friend"" may be just a click away, but true connection is harder to find and express. Ze Frank presents a medley of zany Internet toys that require deep participation -- and reward it with something more nourishing. You're invited, if you promise you'll share.",1080,Ze Frank,Ze Frank: My web playroom,"Humorist, web artist","['Internet', 'comedy', 'gaming', 'humanity', 'humor', 'music', 'play', 'technology', 'web']",My web playroom,1876053,791
"In a courageous, intensely emotional talk at the city council in Fort Worth, Texas, councilman Joel Burns reaches out to the targets of teen bullying -- kids who are gay, perceived as gay, or just different -- with a vital message about their lives, and the harassment they face.",775,Joel Burns,Joel Burns: A message to gay teens: It gets better,City councilman,"['LGBT', 'TEDYouth', 'humanity', 'social change', 'society', 'violence']",A message to gay teens: It gets better,278672,792
"What do you think of people in poverty? Maybe what Jessica Jackley once did: ""they"" need ""our"" help, in the form of a few coins in a jar. The co-founder of Kiva.org talks about how her attitude changed -- and how her work with microloans has brought new power to people who live on a few dollars a day.",1113,Jessica Jackley,"Jessica Jackley: Poverty, money -- and love",Microlender,"['business', 'entrepreneur', 'global issues', 'poverty', 'social change', 'women in business']","Poverty, money -- and love",1359611,793
"Did you know you have functioning neurons in your intestines -- about a hundred million of them? Food scientist Heribert Watzke tells us about the ""hidden brain"" in our gut and the surprising things it makes us feel.",914,Heribert Watzke,Heribert Watzke: The brain in your gut,Food scientist,"['biology', 'food', 'science', 'technology']",The brain in your gut,1342475,794
Artist Dianna Cohen shares some tough truths about plastic pollution in the ocean and in our lives -- and some thoughts on how to free ourselves from the plastic gyre.,318,Dianna Cohen,Dianna Cohen: Tough truths about plastic pollution,Artist and activist,"['Anthropocene', 'consumerism', 'global issues', 'green', 'mission blue', 'oceans', 'plastic']",Tough truths about plastic pollution,688861,795
"In a series of witty punchlines, Patrick Chappatte makes a poignant case for the power of the humble cartoon. His projects in Lebanon, West Africa and Gaza show how, in the right hands, the pencil can illuminate serious issues and bring the most unlikely people together.",752,Patrick Chappatte,Patrick Chappatte: The power of cartoons,Editorial cartoonist,"['art', 'media', 'news', 'war']",The power of cartoons,759736,796
"David Byrne sings the Talking Heads' 1988 hit, ""(Nothing But) Flowers."" He's accompanied by Thomas Dolby and string quartet Ethel, who made up the TED2010 house band.",195,"David Byrne, Ethel + Thomas Dolby","David Byrne, Ethel + Thomas Dolby: ""(Nothing But) Flowers"" with string quartet",Electronic music pioneer,"['future', 'garden', 'music', 'performance', 'society']","""(Nothing But) Flowers"" with string quartet",621361,797
"Engineer RA Mashelkar shares three stories of ultra-low-cost design from India that use bottom-up rethinking, and some clever engineering, to bring expensive products (cars, prosthetics) into the realm of the possible for everyone.",1180,R.A. Mashelkar,R.A. Mashelkar: Breakthrough designs for ultra-low-cost products,"Scientist, innovator","['business', 'design', 'economics', 'industrial design', 'technology']",Breakthrough designs for ultra-low-cost products,622593,798
"Historian and diplomat Joseph Nye gives us the 30,000-foot view of the shifts in power between China and the US, and the global implications as economic, political and ""soft"" power shifts and moves around the globe.",1095,Joseph Nye,Joseph Nye: Global power shifts,Diplomat,"['china', 'culture', 'economics', 'global issues', 'government', 'peace', 'politics', 'war']",Global power shifts,954049,799
"Chef Barton Seaver presents a modern dilemma: Seafood is one of our healthier protein options, but overfishing is desperately harming our oceans. He suggests a simple way to keep fish on the dinner table that includes every mom's favorite adage  -- ""Eat your vegetables!""",566,Barton Seaver,Barton Seaver: Sustainable seafood? Let's get smart,Chef,"['environment', 'fish', 'food', 'oceans', 'sustainability']",Sustainable seafood? Let's get smart,556032,800
"What's the difference between a pest and a bug? Shimon Steinberg makes the case for using good bugs to fight bad bugs, avoiding chemicals in our quest for perfect produce.",923,Shimon Steinberg,Shimon Steinberg: Natural pest control ... using bugs!,Entomologist,"['TEDx', 'agriculture', 'green', 'insects', 'nature', 'technology']",Natural pest control ... using bugs!,368770,801
"Using animation, projections and her own moving shadow, Miwa Matreyek performs a gorgeous, meditative piece about inner and outer discovery. Take a quiet 10 minutes and dive in. With music from Anna Oxygen, Mirah, Caroline Lufkin and Mileece.",671,Miwa Matreyek,Miwa Matreyek: Glorious visions in animation and performance,Multimedia artist,"['animation', 'art', 'design', 'performance', 'technology']",Glorious visions in animation and performance,829399,802
"We're bringing gameplay into more aspects of our lives, spending countless hours -- and real money -- exploring virtual worlds for imaginary treasures. Why? As Tom Chatfield shows, games are perfectly tuned to dole out rewards that engage the brain and keep us questing for more.",988,Tom Chatfield,Tom Chatfield: 7 ways games reward the brain,Gaming theorist,"['culture', 'education', 'entertainment', 'gaming', 'technology']",7 ways games reward the brain,1021573,803
"David Bismark demos a new system for voting that contains a simple, verifiable way to prevent fraud and miscounting -- while keeping each person's vote secret.",422,David Bismark,David Bismark: E-voting without fraud,Voting system designer,"['culture', 'democracy', 'design', 'global issues', 'government', 'politics', 'technology']",E-voting without fraud,543551,804
"Aboard Mission Blue, scientist Greg Stone tells the story of how he helped the Republic of Kiribati to create an enormous protected area in the middle of the Pacific -- protecting fish, sealife and perhaps the island nation itself.",1035,Greg Stone,Greg Stone: Saving the ocean one island at a time,Oceanographer,"['global issues', 'mission blue', 'oceans', 'science', 'submarine']",Saving the ocean one island at a time,454323,805
"In the quest to map the brain, many scientists have attempted the incredibly daunting task of recording the activity of each neuron. Gero Miesenboeck works backward -- manipulating specific neurons to figure out exactly what they do, through a series of stunning experiments that reengineer the way fruit flies percieve light.",1054,Gero Miesenboeck,Gero Miesenboeck: Re-engineering the brain,Optogeneticist,"['biology', 'brain', 'neuroscience', 'science']",Re-engineering the brain,611081,806
"Musical innovator Andrew Bird winds together his trademark violin technique with xylophone, vocals and sophisticated electronic looping. Add in his uncanny ability to whistle anything, and he becomes a riveting one-man orchestra.",1159,Andrew Bird,Andrew Bird: A one-man orchestra of the imagination,Musician,"['entertainment', 'live music', 'music', 'performance']",A one-man orchestra of the imagination,1231423,807
"Designer Emily Pilloton moved to rural Bertie County, in North Carolina, to engage in a bold experiment of design-led community transformation. She's teaching a design-build class called Studio H that engages high schoolers' minds and bodies while bringing smart design and new opportunities to the poorest county in the state.",1003,Emily Pilloton,Emily Pilloton: Teaching design for change,Humanitarian design activist,"['design', 'education', 'poverty']",Teaching design for change,943245,808
"Civil wars and ethnic conflicts have brought the world incredible suffering, but Stefan Wolff's figures show that, in the last 20 years, their number has steadily decreased. He extracts critical lessons from Northern Ireland, Liberia, Timor and more to show that leadership, diplomacy and institutional design are our three most effective weapons in waging peace.",1055,Stefan Wolff,Stefan Wolff: The path to ending ethnic conflicts,Ethnic conflicts scholar,"['Africa', 'iraq', 'peace', 'violence', 'war']",The path to ending ethnic conflicts,307628,809
"Aaron Huey's effort to photograph poverty in America led him to the Pine Ridge Indian Reservation, where the struggle of the native Lakota people -- appalling, and largely ignored -- compelled him to refocus. Five years of work later, his haunting photos intertwine with a shocking history lesson.",927,Aaron Huey,Aaron Huey: America's native prisoners of war,Photographer,"['TEDx', 'culture', 'history', 'photography', 'poverty']",America's native prisoners of war,1347633,810
FLA head Auret van Heerden talks about the next frontier of workers' rights -- globalized industries where no single national body can keep workers safe and protected. How can we keep our global supply chains honest? Van Heerden makes the business case for fair labor.,1066,Auret van Heerden,Auret van Heerden: Making global labor fair,Labor-rights activist,"['big problems', 'business', 'global issues', 'inequality', 'law', 'work']",Making global labor fair,586814,811
"Ecologist Eric Berlow doesn't feel overwhelmed when faced with complex systems. He knows that more information can lead to a better, simpler solution. Illustrating the tips and tricks for breaking down big issues, he distills an overwhelming infographic on U.S. strategy in Afghanistan to a few elementary points.",222,Eric Berlow,Eric Berlow: Simplifying complexity,Ecologist,"['TED Fellows', 'complexity', 'design', 'science', 'simplicity']",Simplifying complexity,1154719,812
"From rockets to stock markets, many of humanity's most thrilling creations are powered by math. So why do kids lose interest in it? Conrad Wolfram says the part of math we teach -- calculation by hand -- isn't just tedious, it's mostly irrelevant to real mathematics and the real world. He presents his radical idea: teaching kids math through computer programming.",1039,Conrad Wolfram,Conrad Wolfram: Teaching kids real math with computers,Mathematician,"['code', 'computers', 'education', 'math', 'technology']",Teaching kids real math with computers,1499219,813
"TED collaborates with animator Andrew Park to illustrate Denis Dutton's provocative theory on beauty -- that art, music and other beautiful things, far from being simply ""in the eye of the beholder,"" are a core part of human nature with deep evolutionary origins.",933,Denis Dutton,Denis Dutton: A Darwinian theory of beauty,Philosopher,"['Senses', 'beauty', 'brain', 'culture', 'design', 'evolution', 'society']",A Darwinian theory of beauty,2012387,814
"Computer science professor Shimon Schocken is also an avid mountain biker. To share the life lessons he learned while riding, he began an outdoor program with Israel's juvenile inmates and was touched by both their intense difficulties and profound successes. Photographs by Raphael Rabinovitz.",946,Shimon Schocken,Shimon Schocken: What a bike ride can teach you,"Computer Scientist, Educator","['TEDx', 'children', 'education', 'leadership', 'motivation', 'personal growth', 'sports', 'storytelling']",What a bike ride can teach you,539950,815
"Join John Hardy on a tour of the Green School, his off-the-grid school in Bali that teaches kids how to build, garden, create (and get into college). The centerpiece of campus is the spiraling Heart of School, perhaps the world's largest freestanding bamboo building.",815,John Hardy,John Hardy: My green school dream,"Designer, educator","['culture', 'design', 'education', 'green']",My green school dream,960523,816
"Kristina Gjerde studies the law of the high seas -- the 64 percent of our ocean that isn't protected by any national law at all. Gorgeous photos show the hidden worlds that Gjerde and other lawyers are working to protect from trawling and trash-dumping, through smart policymaking and a healthy dose of PR.",946,Kristina Gjerde,Kristina Gjerde: Making law on the high seas,High seas policy advisor,"['global issues', 'law', 'mission blue', 'oceans', 'politics', 'science']",Making law on the high seas,349168,817
Neuropsychologist Kim Gorgens makes the case for better protecting our brains against the risk of concussion -- with a compelling pitch for putting helmets on kids.,561,Kim Gorgens,Kim Gorgens: Protecting the brain against concussion,Neuropsychologist,"['TEDx', 'brain', 'children', 'health', 'medicine']",Protecting the brain against concussion,452578,818
"In war we often see only the frontline stories of soldiers and combat. AT TEDGlobal 2010, Zainab Salbi tells powerful ""backline"" stories of women who keep everyday life going during conflicts, and calls for women to have a place at the negotiating table once fighting is over.",1066,Zainab Salbi,"Zainab Salbi: Women, wartime and the dream of peace",Activist and social entrepreneur,"['drones', 'global issues', 'iraq', 'war', 'women']","Women, wartime and the dream of peace",505716,819
Jason Fried has a radical theory of working: that the office isn't a good place to do it. He calls out the two main offenders (call them the M&Ms) and offers three suggestions to make the workplace actually work.,921,Jason Fried,Jason Fried: Why work doesn't happen at work,Software entrepreneur,"['TEDx', 'business', 'creativity', 'culture', 'design', 'technology', 'work']",Why work doesn't happen at work,4908787,820
"In this funny and inspiring talk, Dan Phillips tours us through a dozen homes he's built in Texas using recycled and reclaimed materials in wildly creative ways. Brilliant, low-tech design details will refresh your own drive to make more with less.",1077,Dan Phillips,Dan Phillips: Creative houses from reclaimed stuff,Builder,"['TEDx', 'architecture', 'cities', 'creativity', 'design', 'green', 'technology']",Creative houses from reclaimed stuff,1112351,821
"At a TEDx event, 11-year-old Birke Baehr presents his take on a major source of our food -- far-away and less-than-picturesque industrial farms. Keeping farms out of sight promotes a rosy, unreal picture of big-box agriculture, he argues, as he outlines the case to green and localize food production.",314,Birke Baehr,Birke Baehr: What's wrong with our food system,Aspiring organic farmer,"['TEDx', 'agriculture', 'business', 'environment', 'food', 'green', 'health', 'sustainability']",What's wrong with our food system,2152734,822
"William Ury, author of ""Getting to Yes,"" offers an elegant, simple (but not easy) way to create agreement in even the most difficult situations -- from family conflict to, perhaps, the Middle East.",1125,William Ury,"William Ury: The walk from ""no"" to ""yes""",Mediator,"['TEDx', 'culture', 'global issues', 'politics', 'war']","The walk from ""no"" to ""yes""",1828181,823
"Marcel Dicke makes an appetizing case for adding insects to everyone's diet. His message to squeamish chefs and foodies: delicacies like locusts and caterpillars compete with meat in flavor, nutrition and eco-friendliness.",994,Marcel Dicke,Marcel Dicke: Why not eat insects?,Ecological entomologist,"['agriculture', 'environment', 'food', 'health', 'insects']",Why not eat insects?,1393541,824
"No one knows exactly how many landmines still litter the world, but it's safe to say: millions, waiting to kill and maim unsuspecting civilians. Clearing them is slow, expensive and dangerous. The founder of Apopo, Bart Weetjens, talks about his extraordinary project: training rats to sniff out land mines. He shows clips of his ""hero rats"" in action, and previews his work's next phase: teaching them to turn up tuberculosis in the lab.",731,Bart Weetjens,Bart Weetjens: How I taught rats to sniff out land mines,Product developer,"['Africa', 'TEDx', 'animals', 'smell', 'technology', 'war']",How I taught rats to sniff out land mines,532619,825
"If you've been in a restaurant kitchen, you've seen how much food, water and energy can be wasted there. Chef Arthur Potts-Dawson shares his very personal vision for drastically reducing restaurant, and supermarket, waste -- creating recycling, composting, sustainable engines for good (and good food).",529,Arthur Potts Dawson,Arthur Potts Dawson: A vision for sustainable restaurants,Green chef,"['business', 'cities', 'culture', 'entertainment', 'food', 'global issues', 'sustainability']",A vision for sustainable restaurants,833901,826
"Halla Tómasdóttir managed to take her company Audur Capital through the eye of the financial storm in Iceland by applying 5 traditionally ""feminine"" values to financial services. At TEDWomen, she talks about these values and the importance of balance.",585,Halla Tómasdóttir,Halla Tómasdóttir: A feminine response to Iceland's financial crash,Change catalyst,"['business', 'feminism', 'politics', 'women', 'women in business']",A feminine response to Iceland's financial crash,588691,827
"At TEDWomen, Tony Porter makes a call to men everywhere: Don't ""act like a man."" Telling powerful stories from his own life, he shows how this mentality, drummed into so many men and boys, can lead men to disrespect, mistreat and abuse women and each other. His solution: Break free of the ""man box.""",673,Tony Porter,Tony Porter: A call to men,"Author, educator, activist","['Gender equality', 'bullying', 'culture', 'feminism', 'global issues', 'men', 'women']",A call to men,2235818,828
"Kiran Bedi has a surprising resume. Before becoming Director General of the Indian Police Service, she managed one of the country's toughest prisons -- and used a new focus on prevention and education to turn it into a center of learning and meditation. She shares her thoughts on visionary leadership at TEDWomen.",527,Kiran Bedi,Kiran Bedi: A police chief with a difference,Corrections pioneer,"['crime', 'culture', 'education', 'global issues', 'india', 'social change']",A police chief with a difference,849372,829
"Hanna Rosin reviews startling new data that shows women actually surpassing men in several important measures, such as college graduation rates. Do these trends, both US-centric and global, signal the ""end of men""? Probably not -- but they point toward an important societal shift worth deep discussion.",972,Hanna Rosin,Hanna Rosin: New data on the rise of women,Journalist,"['Gender equality', 'culture', 'economics', 'education', 'feminism', 'global issues', 'women']",New data on the rise of women,851862,830
Diana Laufenberg shares three surprising things she has learned about teaching -- including a key insight about learning from mistakes.,605,Diana Laufenberg,Diana Laufenberg: How to learn? From mistakes,Educator,"['TEDx', 'children', 'culture', 'education']",How to learn? From mistakes,1882742,831
"Babble.com publishers Rufus Griscom and Alisa Volkman, in a lively tag-team, expose 4 facts that parents never, ever admit -- and why they should. Funny and honest, for parents and nonparents alike.",1028,Rufus Griscom + Alisa Volkman,Rufus Griscom + Alisa Volkman: Let's talk parenting taboos,Website co-founders,"['children', 'communication', 'culture', 'entertainment', 'sex', 'web']",Let's talk parenting taboos,2108409,832
"In her talk, Rachel Botsman says we're ""wired to share"" -- and shows how websites like Zipcar and Swaptree are changing the rules of human behavior.",994,Rachel Botsman,Rachel Botsman: The case for collaborative consumption,Trust researcher,"['TEDx', 'business', 'cities', 'collaboration', 'communication', 'consumerism', 'culture', 'technology', 'trust']",The case for collaborative consumption,1125092,833
"In this talk from RSA Animate, Sir Ken Robinson lays out the link between 3 troubling trends: rising drop-out rates, schools' dwindling stake in the arts, and ADHD. An important, timely talk for parents and teachers.",700,Ken Robinson,Ken Robinson: Changing education paradigms,Author/educator,"['TED Brain Trust', 'business', 'children', 'disease', 'economics', 'education', 'history', 'medicine', 'money', 'psychology']",Changing education paradigms,1854997,834
"Beverly + Dereck Joubert live in the bush, filming and photographing lions and leopards in their natural habitat. With stunning footage (some never before seen), they discuss their personal relationships with these majestic animals -- and their quest to save the big cats from human threats.",1040,Beverly + Dereck Joubert,Beverly + Dereck Joubert: Life lessons from big cats,"Conservationists, filmmakers","['Africa', 'animals', 'environment', 'film', 'global issues', 'photography']",Life lessons from big cats,858303,835
Facebook COO Sheryl Sandberg looks at why a smaller percentage of women than men reach the top of their professions -- and offers 3 powerful pieces of advice to women aiming for the C-suite.,898,Sheryl Sandberg,Sheryl Sandberg: Why we have too few women leaders,"COO, Facebook","['Gender equality', 'business', 'feminism', 'goal-setting', 'leadership', 'technology', 'women', 'women in business']",Why we have too few women leaders,7431179,836
The future of green is local. Majora Carter tells three inspiring stories of people who are saving their own communities while saving the planet.,1079,Majora Carter,Majora Carter: 3 stories of local eco-entrepreneurship,Activist for environmental justice,"['TEDx', 'business', 'cities', 'community', 'economics', 'green']",3 stories of local eco-entrepreneurship,702793,837
"Brené Brown studies human connection -- our ability to empathize, belong, love. In a poignant, funny talk, she shares a deep insight from her research, one that sent her on a personal quest to know herself as well as to understand humanity. A talk to share.",1219,Brené Brown,Brené Brown: The power of vulnerability,Vulnerability researcher,"['TEDx', 'communication', 'culture', 'depression', 'fear', 'mental health', 'psychology', 'self', 'social change']",The power of vulnerability,31168150,838
